D:\Agilent\ICPMH\1\DATA\Vera\2025-06-16_ETV_TRA_O2.b\011SMPL.d,
Intensity Vs Time,Counts
Acquired      : 2025-06-17 14:36:51 using Batch 2025-06-16_ETV_TRA_O2.b,
Time [Sec],157 -> 157
0.05141,1177.92
0.08191,1258.19
0.11241,1244.14
0.14292,1187.95
0.17342,1165.88
0.20392,1240.12
0.23443,1205
0.26493,1188.95
0.29543,1216.04
0.32594,1226.08
0.35644,1241.13
0.38694,1175.91
0.41744,1210.02
0.44795,1220.05
0.47845,1277.25
0.50895,1288.29
0.53946,1232.1
0.56996,1257.18
0.60046,1258.19
0.63097,1308.36
0.66147,1211.02
0.69197,1324.42
0.72247,1227.08
0.75298,1277.25
0.78348,1227.08
0.81398,1207.01
0.84449,1224.07
0.87499,1257.18
0.90549,1228.08
0.936,1322.41
0.9665,1191.96
0.997,1231.09
1.0275,1230.09
1.05801,1234.1
1.08851,1259.19
1.11901,1209.02
1.14952,1249.15
1.18002,1179.92
1.21052,1249.15
1.24103,1287.29
1.27153,1271.23
1.30203,1261.2
1.33253,1230.09
1.36304,1330.44
1.39354,1223.07
1.42404,1266.21
1.45455,1261.2
1.48505,1235.11
1.51555,1216.04
1.54606,1252.16
1.57656,1277.25
1.60706,1196.98
1.63756,1255.17
1.66807,1194.97
1.69857,1238.12
1.72907,1267.22
1.75958,1207.01
1.79008,1203
1.82058,1271.23
1.85109,1318.4
1.88159,1190.96
1.91209,1260.19
1.94259,1236.11
1.9731,1257.18
2.0036,1204
2.0341,1262.2
2.06461,1170.89
2.09511,1267.22
2.12561,1193.97
2.15612,1174.91
2.18662,1226.08
2.21712,1144.81
2.24762,1212.03
2.27813,1222.06
2.30863,1257.18
2.33913,1218.05
2.36964,1354.53
2.40014,1253.17
2.43064,1229.09
2.46115,1201.99
2.49165,1260.19
2.52215,1227.08
2.55265,1187.95
2.58316,1223.07
2.61366,1198.98
2.64416,1178.92
2.67467,1231.09
2.70517,1215.04
2.73567,1172.9
2.76618,1272.23
2.79668,1299.33
2.82718,1195.97
2.85768,1247.15
2.88819,1243.13
2.91869,1217.04
2.94919,1203
2.9797,1198.98
3.0102,1194.97
3.0407,1218.05
3.07121,1251.16
3.10171,1241.13
3.13221,1216.04
3.16271,1225.07
3.19322,1258.19
3.22372,1243.13
3.25422,1196.98
3.28473,1121.74
3.31523,1134.78
3.34573,1182.93
3.37624,1206.01
3.40674,1179.92
3.43724,1199.99
3.46774,1165.88
3.49825,1254.17
3.52875,1208.01
3.55925,1209.02
3.58976,1195.97
3.62026,1257.18
3.65076,1238.12
3.68127,1169.89
3.71177,1163.87
3.74227,1156.85
3.77277,1220.05
3.80328,1231.09
3.83378,1182.93
3.86428,1197.98
3.89479,1209.02
3.92529,1201.99
3.95579,1297.32
3.9863,1238.12
4.0168,1173.9
4.0473,1228.08
4.0778,1212.03
4.10831,1214.03
4.13881,1269.22
4.16931,1172.9
4.19982,1292.31
4.23032,1192.96
4.26082,1190.96
4.29133,1193.97
4.32183,1168.89
4.35233,1160.86
4.38283,1227.08
4.41334,1184.94
4.44384,1164.87
4.47434,1260.19
4.50485,1217.04
4.53535,1238.12
4.56585,1225.07
4.59636,1224.07
4.62686,1233.1
4.65736,1225.07
4.68786,1221.06
4.71837,1263.2
4.74887,1186.94
4.77937,1184.94
4.80988,1190.96
4.84038,1226.08
4.87088,1185.94
4.90139,1183.94
4.93189,1258.19
4.96239,1215.04
4.99289,1223.07
5.0234,1151.83
5.0539,1131.77
5.0844,1176.91
5.11491,1181.93
5.14541,1274.24
5.17591,1181.93
5.20642,1255.17
5.23692,1163.87
5.26742,1190.96
5.29792,1239.12
5.32843,1168.89
5.35893,1160.86
5.38943,1222.06
5.41994,1213.03
5.45044,1206.01
5.48094,1142.8
5.51145,1209.02
5.54195,1071.59
5.57245,1173.9
5.60295,1174.91
5.63346,1215.04
5.66396,1175.91
5.69446,1219.05
5.72497,1209.02
5.75547,1247.15
5.78597,1198.98
5.81648,1224.07
5.84698,1235.11
5.87748,1225.07
5.90798,1231.09
5.93849,1182.93
5.96899,1231.09
5.99949,1239.12
6.03,1160.86
6.0605,1176.91
6.091,1178.92
6.12151,1207.01
6.15201,1161.86
6.18251,1148.82
6.21301,1204
6.24352,1157.85
6.27402,1154.84
6.30452,1199.99
6.33503,1172.9
6.36553,1261.2
6.39603,1177.92
6.42654,1180.93
6.45704,1223.07
6.48754,1205
6.51804,1234.1
6.54855,1247.15
6.57905,1192.96
6.60955,1170.89
6.64006,1199.99
6.67056,1281.27
6.70106,1240.12
6.73157,1217.04
6.76207,1214.03
6.79257,1160.86
6.82307,1173.9
6.85358,1260.19
6.88408,1269.22
6.91458,1168.89
6.94509,1194.97
6.97559,1179.92
7.00609,1168.89
7.0366,1171.9
7.0671,1116.72
7.0976,1181.93
7.1281,1239.12
7.15861,1163.87
7.18911,1125.75
7.21961,1234.1
7.25012,1192.96
7.28062,1294.31
7.31112,1206.01
7.34163,1253.17
7.37213,1170.89
7.40263,1187.95
7.43313,1255.17
7.46364,1184.94
7.49414,1206.01
7.52464,1174.91
7.55515,1163.87
7.58565,1184.94
7.61615,1192.96
7.64666,1198.98
7.67716,1187.95
7.70766,1193.97
7.73816,1208.01
7.76867,1283.27
7.79917,1201.99
7.82967,1224.07
7.86018,1226.08
7.89068,1211.02
7.92118,1155.84
7.95169,1187.95
7.98219,1230.09
8.01269,1260.19
8.04319,1180.93
8.0737,1163.87
8.1042,1252.16
8.1347,1153.84
8.16521,1197.98
8.19571,1178.92
8.22621,1194.97
8.25672,1232.1
8.28722,1223.07
8.31772,1209.02
8.34822,1165.88
8.37873,1216.04
8.40923,1228.08
8.43973,1129.76
8.47024,1160.86
8.50074,1218.05
8.53124,1284.28
8.56175,1219.05
8.59225,1169.89
8.62275,1184.94
8.65325,1204
8.68376,1302.34
8.71426,1180.93
8.74476,1138.79
8.77527,1206.01
8.80577,1214.03
8.83627,1207.01
8.86678,1238.12
8.89728,1212.03
8.92778,1251.16
8.95828,1280.26
8.98879,1198.98
9.01929,1189.95
9.04979,1192.96
9.0803,1201.99
9.1108,1249.15
9.1413,1191.96
9.17181,1170.89
9.20231,1218.05
9.23281,1224.07
9.26331,1205
9.29382,1149.83
9.32432,1207.01
9.35482,1211.02
9.38533,1230.09
9.41583,1220.05
9.44633,1210.02
9.47684,1189.95
9.50734,1157.85
9.53784,1188.95
9.56834,1159.86
9.59885,1237.11
9.62935,1169.89
9.65985,1159.86
9.69036,1231.09
9.72086,1209.02
9.75136,1182.93
9.78187,1175.91
9.81237,1243.13
9.84287,1199.99
9.87337,1179.92
9.90388,1225.07
9.93438,1173.9
9.96488,1215.04
9.99539,1182.93
10.02589,1289.29
10.05639,1228.08
10.0869,1134.78
10.1174,1258.19
10.1479,1179.92
10.1784,1174.91
10.20891,1149.83
10.23941,1211.02
10.26991,1160.86
10.30042,1195.97
10.33092,1192.96
10.36142,1160.86
10.39193,1215.04
10.42243,1169.89
10.45293,1160.86
10.48343,1206.01
10.51394,1185.94
10.54444,1235.11
10.57494,1171.9
