"Scan","Time(sec)","O 130.603","Ar 425.118","Cl 134.724","Cl 135.165","Cl 136.345","Cl 133.573","Cl 139.653","Br 154.065","Br 153.174","Br 148.845","Br 144.990","Br 157.480","Br 163.340","I 178.276","I 142.549","I 161.760","I 183.038","I 179.909","Analog_Temp"
1,0.1,-7090,2182493,-911,-6976,-3598,-5230,119,-3191,2799,-5386,1040,-3361,211,-2408,-358,874,3231,-1254,-175971.521037382
2,0.2,-3317,2229401,-1673,582,-1965,-5145,-3087,-4843,4253,-2375,2369,-679,3207,-2402,-323,2056,1255,1169,-175276.471741441
3,0.3,4015,2145859,-1215,-1908,-260,40,-875,-3730,-1492,2684,-1025,-298,613,-986,-1602,-792,1308,-961,-174928.94709347
4,0.4,1851,2123576,-5291,317,-1356,-3840,-173,-2314,1451,-1916,104,-457,-1155,-1521,-416,-735,-202,455,-175276.471741441
5,0.5,1476,2154909,-4374,-4374,-4113,-2421,-3390,-817,4235,-930,-1413,2300,-746,493,-1212,74,-45,-282,-175276.471741441
6,0.6,6586,2160724,-3291,-931,-338,429,-3257,1983,-2850,-1010,2038,-4536,167,2451,-481,2381,-404,3727,-175971.521037382
7,0.7,7617,2204644,-6523,-5815,-2431,-4051,2591,476,-728,2040,-1379,281,-2190,213,2293,1645,1267,1755,-175971.521037382
8,0.8,4371,2175923,-4350,-2972,-1051,-2954,-2492,-5484,289,-2110,1044,3843,-1397,146,2652,2031,3435,-1312,-175971.521037382
9,0.9,8733,2194357,-752,1869,1213,1112,333,-3212,2608,2432,333,-1307,441,-1278,-2893,696,3195,1426,-175971.521037382
10,1,12040,2140530,271,1779,544,-3238,-4275,486,792,-522,-593,1783,-3438,800,-2241,1264,1626,1262,-174928.94709347
11,1.1,9471,2167361,1881,182,-463,-2230,2375,579,953,1736,763,1806,643,89,1744,-52,1260,635,-174928.94709347
12,1.2,11032,2153643,7906,2658,4024,3248,-550,2594,3800,-2245,-4306,-2864,-3825,-2123,-1052,-4059,980,-1284,-175276.471741441
