sep=;
Number;Time 80Se;80Se;Time 117Sn;117Sn;Time 122Sn;122Sn;Time 124Sn;124Sn;Time 121Sb;121Sb;Time 125Te;125Te
1;0.032;949834.600601124;0.063;400.004560051985;0.126;100.000285000812;0.157;166.667458337094;0.095;500.007125101533;0.189;0
2;0.22;850913.620830016;0.251;166.667458337094;0.314;66.666793333574;0.345;133.333840001925;0.282;200.001140006498;0.377;133.333840001925
3;0.408;912671.097187912;0.439;300.002565021931;0.502;166.667458337094;0.533;266.668693348736;0.47;400.004560051985;0.564;166.667458337094
4;0.595;919409.630786807;0.627;366.670498373375;0.69;33.3333650000301;0.721;133.333840001925;0.658;466.672873415883;0.752;166.667458337094
5;0.783;834415.51234097;0.815;500.007125101533;0.877;33.3333650000301;0.909;333.336500030084;0.846;333.336500030084;0.94;433.338685066094
6;0.971;958803.25573958;1.002;400.004560051985;1.065;0;1.097;166.667458337094;1.034;466.672873415883;1.128;333.336500030084
7;1.159;792225.595253982;1.19;266.668693348736;1.253;0;1.284;100.000285000812;1.222;433.338685066094;1.316;266.668693348736
8;1.346;886407.890038396;1.378;266.668693348736;1.441;66.666793333574;1.472;166.667458337094;1.409;200.001140006498;1.503;200.001140006498
9;1.534;834625.139006788;1.566;366.670498373375;1.629;133.333840001925;1.66;100.000285000812;1.597;266.668693348736;1.691;300.002565021931
10;1.722;848361.016019002;1.754;433.338685066094;1.816;66.666793333574;1.848;166.667458337094;1.785;233.334885010319;1.879;466.672873415883
11;1.91;910741.252787843;1.941;166.667458337094;2.004;33.3333650000301;2.035;133.333840001925;1.973;366.670498373375;2.067;433.338685066094
12;2.098;829769.416025974;2.129;166.667458337094;2.192;100.000285000812;2.223;300.002565021931;2.161;433.338685066094;2.255;433.338685066094
13;2.286;819642.996149234;2.317;433.338685066094;2.38;100.000285000812;2.411;133.333840001925;2.348;266.668693348736;2.442;133.333840001925
14;2.473;809975.84958328;2.505;133.333840001925;2.568;100.000285000812;2.599;366.670498373375;2.536;233.334885010319;2.63;366.670498373375
15;2.661;815419.522805117;2.693;266.668693348736;2.755;133.333840001925;2.787;166.667458337094;2.724;200.001140006498;2.818;233.334885010319
16;2.849;807289.516751939;2.881;433.338685066094;2.943;100.000285000812;2.975;200.001140006498;2.912;200.001140006498;3.006;400.004560051985
17;3.037;827883.374079225;3.068;200.001140006498;3.131;233.334885010319;3.162;66.666793333574;3.1;600.010260175449;3.194;333.336500030084
18;3.225;845389.261815416;3.256;366.670498373375;3.319;100.000285000812;3.35;133.333840001925;3.287;166.667458337094;3.382;633.344765206345
19;3.412;813779.268001115;3.444;200.001140006498;3.507;100.000285000812;3.538;133.333840001925;3.475;433.338685066094;3.569;400.004560051985
20;3.6;861792.481231151;3.632;266.668693348736;3.695;66.666793333574;3.726;133.333840001925;3.663;266.668693348736;3.757;466.672873415883
21;3.788;764815.229683414;3.82;300.002565021931;3.882;66.666793333574;3.914;33.3333650000301;3.851;300.002565021931;3.945;166.667458337094
22;3.976;777348.444523718;4.008;133.333840001925;4.07;133.333840001925;4.102;66.666793333574;4.039;433.338685066094;4.133;200.001140006498
23;4.164;759700.018614489;4.195;333.336500030084;4.258;33.3333650000301;4.289;66.666793333574;4.227;533.341440123223;4.321;733.348660320334
24;4.352;861022.699074616;4.383;266.668693348736;4.446;66.666793333574;4.477;100.000285000812;4.414;533.341440123223;4.508;333.336500030084
25;4.539;771811.861047702;4.571;233.334885010319;4.634;66.666793333574;4.665;200.001140006498;4.602;233.334885010319;4.696;433.338685066094
26;4.727;773204.551304929;4.759;200.001140006498;4.821;66.666793333574;4.853;166.667458337094;4.79;333.336500030084;4.884;366.670498373375
